event_id,timestamp,user_id,source_asset,target_asset,resource_path,resource_group,action,status,bytes_transferred,sensitivity
X00020,2026-09-07 08:01:13,pnakale,WKST-HR-002,FS-HR-01,/hr/terminations/record-4747.json,HR_CONFIDENTIAL,READ,SUCCESS,19726,Restricted
X00021,2026-09-07 08:04:05,hamukwaya,WKST-TRY-007,DB-CRM-01,/crm/cases/open/record-9219.json,CRM_BASIC,LIST,SUCCESS,2127,Internal
X00022,2026-09-07 08:15:18,nnakale,WKST-CS-006,DB-CRM-01,/crm/cases/open/record-1385.json,CRM_BASIC,READ,SUCCESS,7695,Internal
X00023,2026-09-07 08:17:59,jkavari,WKST-FIN-021,FS-FIN-01,/finance/budgets/2026/record-3469.json,FINANCE,READ,SUCCESS,4112,Confidential
X00024,2026-09-07 08:28:03,mukwambi,WKST-HR-014,FS-FIN-01,/payroll/allowances/record-2658.json,PAYROLL_READ,READ,SUCCESS,4225,Confidential
X00025,2026-09-07 08:44:22,haufiku,WKST-SOC-003,FS-KYC-01,/customer/exports/regulatory/record-1713.json,CUSTOMER_EXPORT,LIST,SUCCESS,4251,Restricted
X00026,2026-09-07 08:49:19,nghifindaka,WKST-IT-005,FS-FIN-01,/audit/security/record-1707.json,AUDIT,DOWNLOAD,SUCCESS,5745,Restricted
X00027,2026-09-07 08:50:23,nduminga,WKST-SWK-002,DB-CRM-01,/crm/customer/profile/record-9762.json,CRM_BASIC,UPDATE,SUCCESS,879,Internal
X00028,2026-09-07 08:54:26,nnakale,WKST-CS-006,FS-KYC-01,/customer/records/individual/record-2836.json,CUSTOMER_BASIC,UPDATE,SUCCESS,865,Confidential
X00029,2026-09-07 09:04:29,sankwasa,WKST-PRC-008,DB-CRM-01,/crm/customer/profile/record-2075.json,CRM_BASIC,READ,SUCCESS,5049,Internal
X00030,2026-09-07 09:22:54,haufiku,WKST-SOC-003,FS-KYC-01,/customer/exports/regulatory/record-4218.json,CUSTOMER_EXPORT,UPDATE,SUCCESS,1141,Restricted
X00031,2026-09-07 09:34:23,nghifindaka,WKST-IT-005,FS-FIN-01,/audit/security/record-7752.json,AUDIT,READ,SUCCESS,2503,Restricted
X00032,2026-09-07 09:40:05,nambala,WKST-SWK-012,FS-KYC-01,/customer/records/individual/record-4037.json,CUSTOMER_BASIC,READ,SUCCESS,2491,Confidential
X00033,2026-09-07 09:44:55,mukwambi,WKST-HR-014,FS-FIN-01,/payroll/monthly/2026-08/record-8510.json,PAYROLL_READ,READ,SUCCESS,5718,Confidential
X00034,2026-09-07 09:45:45,ntinda,WKST-MKT-010,DB-CRM-01,/crm/cases/open/record-4855.json,CRM_BASIC,READ,SUCCESS,9465,Internal
X00035,2026-09-07 09:53:27,mhaingura,WKST-CS-017,FS-KYC-01,/customer/records/individual/record-6990.json,CUSTOMER_BASIC,UPDATE,SUCCESS,2807,Confidential
X00036,2026-09-07 09:57:25,hamukwaya,WKST-TRY-007,DB-CRM-01,/crm/customer/profile/record-8760.json,CRM_BASIC,READ,SUCCESS,3166,Internal
X00037,2026-09-07 10:01:27,nambala,WKST-SWK-012,FS-KYC-01,/customer/contacts/recent/record-9598.json,CUSTOMER_BASIC,READ,SUCCESS,8166,Confidential
X00038,2026-09-07 10:04:23,tjirera,WKST-AUD-004,FS-FIN-01,/audit/security/record-8678.json,AUDIT,LIST,SUCCESS,4380,Restricted
X00039,2026-09-07 10:05:29,ntinda,WKST-MKT-010,DB-CRM-01,/crm/cases/open/record-6958.json,CRM_BASIC,READ,SUCCESS,14962,Internal
X00040,2026-09-07 10:13:32,mukwambi,WKST-HR-014,FS-HR-01,/hr/leave/record-5481.json,HR,READ,SUCCESS,13168,Confidential
X00041,2026-09-07 10:18:43,murorua,WKST-RSK-006,FS-FIN-01,/audit/access-reviews/record-1253.json,AUDIT,READ,SUCCESS,1022,Restricted
X00042,2026-09-07 10:24:45,nnakale,WKST-CS-006,DB-CRM-01,/crm/interactions/today/record-9522.json,CRM_BASIC,DOWNLOAD,SUCCESS,4759,Internal
X00043,2026-09-07 10:26:08,mukwambi,WKST-HR-014,FS-FIN-01,/payroll/monthly/2026-08/record-4838.json,PAYROLL_READ,DOWNLOAD,SUCCESS,12438,Confidential
X00044,2026-09-07 10:30:04,kndjavera,WKST-CMP-009,FS-FIN-01,/audit/access-reviews/record-2900.json,AUDIT,READ,SUCCESS,3147,Restricted
X00045,2026-09-07 10:30:58,nghifindaka,WKST-IT-005,FS-FIN-01,/admin/server-config/record-1003.json,IT_ADMIN,READ,SUCCESS,5252,Restricted
X00046,2026-09-07 10:43:09,murorua,WKST-RSK-006,FS-FIN-01,/audit/security/record-1897.json,AUDIT,READ,SUCCESS,3063,Restricted
X00047,2026-09-07 10:43:50,murorua,WKST-RSK-006,FS-FIN-01,/audit/security/record-3794.json,AUDIT,LIST,SUCCESS,4678,Restricted
X00048,2026-09-07 10:47:13,sihuhua,WKST-SWK-008,FS-KYC-01,/customer/records/individual/record-3781.json,CUSTOMER_BASIC,UPDATE,SUCCESS,644,Confidential
X00049,2026-09-07 10:47:29,nduminga,WKST-SWK-002,FS-KYC-01,/customer/kyc/high-risk/record-2837.json,CUSTOMER_EXPORT,UPDATE,SUCCESS,690,Restricted
X00050,2026-09-07 10:47:49,sankwasa,WKST-PRC-008,DB-CRM-01,/crm/interactions/today/record-7066.json,CRM_BASIC,UPDATE,SUCCESS,340,Internal
X00051,2026-09-07 10:50:32,mhaingura,WKST-CS-017,FS-KYC-01,/customer/records/individual/record-4397.json,CUSTOMER_BASIC,READ,SUCCESS,6209,Confidential
X00052,2026-09-07 10:55:38,ntinda,WKST-MKT-010,DB-CRM-01,/crm/cases/open/record-3013.json,CRM_BASIC,UPDATE,SUCCESS,3010,Internal
X00053,2026-09-07 10:55:38,jkavari,WKST-FIN-021,FS-FIN-01,/finance/budgets/2026/record-4820.json,FINANCE,READ,SUCCESS,7880,Confidential
X00054,2026-09-07 10:59:24,jkavari,WKST-FIN-021,FS-FIN-01,/finance/general-ledger/record-5629.json,FINANCE,READ,SUCCESS,6563,Confidential
X00055,2026-09-07 11:02:08,shapaka,WKST-EXE-002,DB-CRM-01,/crm/interactions/today/record-2044.json,CRM_BASIC,READ,SUCCESS,22806,Internal
X00056,2026-09-07 11:02:40,sankwasa,WKST-PRC-008,DB-CRM-01,/crm/customer/profile/record-9979.json,CRM_BASIC,UPDATE,SUCCESS,3003,Internal
X00057,2026-09-07 11:05:42,murorua,WKST-RSK-006,FS-FIN-01,/audit/security/record-5516.json,AUDIT,UPDATE,SUCCESS,276,Restricted
X00058,2026-09-07 11:08:52,shilongo,WKST-LOAN-018,FS-KYC-01,/customer/contacts/recent/record-5069.json,CUSTOMER_BASIC,READ,SUCCESS,14971,Confidential
X00059,2026-09-07 11:12:32,amupanda,WKST-CMP-003,FS-KYC-01,/customer/exports/regulatory/record-1108.json,CUSTOMER_EXPORT,UPDATE,SUCCESS,2375,Restricted
X00060,2026-09-07 11:13:18,mbandeka,WKST-LGL-005,FS-KYC-01,/customer/contacts/recent/record-2768.json,CUSTOMER_BASIC,READ,SUCCESS,1779,Confidential
X00061,2026-09-07 11:16:56,nduminga,WKST-SWK-002,FS-KYC-01,/customer/kyc/high-risk/record-3829.json,CUSTOMER_EXPORT,UPDATE,SUCCESS,3386,Restricted
X00062,2026-09-07 11:18:22,nghifindaka,WKST-IT-005,FS-FIN-01,/audit/security/record-6431.json,AUDIT,DOWNLOAD,SUCCESS,16119,Restricted
X00063,2026-09-07 11:23:27,tjirera,WKST-AUD-004,FS-KYC-01,/customer/exports/regulatory/record-2049.json,CUSTOMER_EXPORT,READ,SUCCESS,17113,Restricted
X00064,2026-09-07 11:29:34,tjirera,WKST-AUD-004,FS-FIN-01,/audit/security/record-3173.json,AUDIT,UPDATE,SUCCESS,1425,Restricted
X00065,2026-09-07 11:29:57,ndjaba,WKST-OND-004,DB-CRM-01,/crm/customer/profile/record-8202.json,CRM_BASIC,READ,SUCCESS,15018,Internal
X00066,2026-09-07 11:33:47,ntinda,WKST-MKT-010,DB-CRM-01,/crm/interactions/today/record-5723.json,CRM_BASIC,READ,SUCCESS,1579,Internal
X00067,2026-09-07 11:34:28,tshivute,WKST-FIN-004,FS-FIN-01,/payroll/allowances/record-8738.json,PAYROLL_READ,LIST,SUCCESS,3151,Confidential
X00068,2026-09-07 11:34:46,mukwambi,WKST-HR-014,FS-HR-01,/hr/recruitment/record-2279.json,HR,READ,SUCCESS,7313,Confidential
X00069,2026-09-07 11:37:29,sankwasa,WKST-PRC-008,DB-CRM-01,/crm/customer/profile/record-3298.json,CRM_BASIC,READ,SUCCESS,7171,Internal
X00070,2026-09-07 11:38:38,tkamati,WKST-CS-011,FS-KYC-01,/customer/records/individual/record-7693.json,CUSTOMER_BASIC,READ,SUCCESS,12179,Confidential
X00071,2026-09-07 11:45:17,nnakale,WKST-CS-006,FS-KYC-01,/customer/kyc/high-risk/record-3181.json,CUSTOMER_EXPORT,UPDATE,SUCCESS,473,Restricted
X00072,2026-09-07 11:45:40,tshivute,WKST-FIN-004,FS-FIN-01,/payroll/allowances/record-6490.json,PAYROLL_READ,READ,SUCCESS,27387,Confidential
X00073,2026-09-07 11:48:58,tkamati,WKST-CS-011,FS-KYC-01,/customer/records/individual/record-5864.json,CUSTOMER_BASIC,READ,SUCCESS,11687,Confidential
X00074,2026-09-07 11:52:48,katjiuongua,WKST-IT-012,FS-FIN-01,/admin/directory/record-2254.json,IT_ADMIN,READ,SUCCESS,23531,Restricted
X00075,2026-09-07 12:05:20,sankwasa,WKST-PRC-008,DB-CRM-01,/crm/customer/profile/record-6465.json,CRM_BASIC,READ,SUCCESS,1066,Internal
X00076,2026-09-07 12:08:38,tkamati,WKST-CS-011,DB-CRM-01,/crm/interactions/today/record-6570.json,CRM_BASIC,LIST,SUCCESS,3345,Internal
X00077,2026-09-07 12:11:40,kndjavera,WKST-CMP-009,FS-KYC-01,/customer/kyc/high-risk/record-5432.json,CUSTOMER_EXPORT,LIST,SUCCESS,4210,Restricted
X00078,2026-09-07 12:14:53,ntinda,WKST-MKT-010,DB-CRM-01,/crm/customer/profile/record-7545.json,CRM_BASIC,READ,SUCCESS,6070,Internal
X00079,2026-09-07 12:15:51,shilongo,WKST-LOAN-018,FS-KYC-01,/customer/records/individual/record-3679.json,CUSTOMER_BASIC,READ,SUCCESS,6623,Confidential
X00080,2026-09-07 12:18:20,nnakale,WKST-CS-006,FS-KYC-01,/customer/exports/regulatory/record-3977.json,CUSTOMER_EXPORT,READ,SUCCESS,15306,Restricted
X00081,2026-09-07 12:18:29,ntinda,WKST-MKT-010,DB-CRM-01,/crm/interactions/today/record-4999.json,CRM_BASIC,READ,SUCCESS,48029,Internal
X00082,2026-09-07 12:19:47,ntinda,WKST-MKT-010,DB-CRM-01,/crm/interactions/today/record-2786.json,CRM_BASIC,READ,DENIED,16177,Internal
X00083,2026-09-07 12:25:27,tjirera,WKST-AUD-004,FS-FIN-01,/finance/budgets/2026/record-8623.json,FINANCE,READ,SUCCESS,16923,Confidential
X00084,2026-09-07 12:29:24,shapaka,WKST-EXE-002,DB-CRM-01,/crm/cases/open/record-9244.json,CRM_BASIC,LIST,SUCCESS,2222,Internal
X00085,2026-09-07 12:35:48,pnakale,WKST-HR-002,FS-HR-01,/hr/disciplinary/record-9175.json,HR_CONFIDENTIAL,READ,SUCCESS,16350,Restricted
X00086,2026-09-07 12:35:56,haufiku,WKST-SOC-003,FS-FIN-01,/audit/access-reviews/record-8137.json,AUDIT,DOWNLOAD,SUCCESS,25700,Restricted
X00087,2026-09-07 12:39:55,tkamati,WKST-CS-011,DB-CRM-01,/crm/interactions/today/record-9956.json,CRM_BASIC,READ,SUCCESS,39383,Internal
X00088,2026-09-07 12:42:58,tjirera,WKST-AUD-004,FS-KYC-01,/customer/kyc/exports/2026-Q3/record-7909.json,CUSTOMER_EXPORT,UPDATE,SUCCESS,4143,Restricted
X00089,2026-09-07 12:46:37,tshivute,WKST-FIN-004,FS-FIN-01,/finance/budgets/2026/record-3895.json,FINANCE,READ,SUCCESS,123034,Confidential
X00090,2026-09-07 12:46:56,shilongo,WKST-LOAN-018,FS-KYC-01,/customer/contacts/recent/record-4420.json,CUSTOMER_BASIC,DOWNLOAD,SUCCESS,43146,Confidential
X00091,2026-09-07 12:51:51,hamukwaya,WKST-TRY-007,DB-CRM-01,/crm/customer/profile/record-9214.json,CRM_BASIC,READ,SUCCESS,29318,Internal
X00092,2026-09-07 12:56:55,murorua,WKST-RSK-006,FS-FIN-01,/audit/security/record-4447.json,AUDIT,READ,SUCCESS,4106,Restricted
X00093,2026-09-07 12:59:46,tjirera,WKST-AUD-004,FS-HR-01,/hr/leave/record-5454.json,HR,LIST,SUCCESS,4486,Confidential
X00094,2026-09-07 13:14:01,pnakale,WKST-HR-002,FS-HR-01,/hr/disciplinary/record-1946.json,HR_CONFIDENTIAL,LIST,SUCCESS,704,Restricted
X00095,2026-09-07 13:18:32,nnakale,WKST-CS-006,FS-KYC-01,/customer/records/individual/record-7450.json,CUSTOMER_BASIC,LIST,SUCCESS,581,Confidential
X00096,2026-09-07 13:20:48,pnakale,WKST-HR-002,FS-HR-01,/hr/recruitment/record-4097.json,HR,LIST,SUCCESS,3488,Confidential
X00097,2026-09-07 13:22:03,mukwambi,WKST-HR-014,FS-HR-01,/hr/leave/record-8122.json,HR,LIST,SUCCESS,536,Confidential
X00098,2026-09-07 13:24:11,mukwambi,WKST-HR-014,FS-HR-01,/hr/recruitment/record-4011.json,HR,LIST,SUCCESS,1396,Confidential
X00099,2026-09-07 13:24:56,jkavari,WKST-FIN-021,FS-FIN-01,/finance/general-ledger/record-7412.json,FINANCE,READ,SUCCESS,66202,Confidential
X00100,2026-09-07 13:29:57,hamukwaya,WKST-TRY-007,DB-CRM-01,/crm/customer/profile/record-8041.json,CRM_BASIC,READ,SUCCESS,11448,Internal
X00101,2026-09-07 13:31:03,mukwambi,WKST-HR-014,FS-FIN-01,/payroll/allowances/record-3174.json,PAYROLL_READ,LIST,SUCCESS,1583,Confidential
X00102,2026-09-07 13:44:49,tjirera,WKST-AUD-004,FS-FIN-01,/audit/security/record-6822.json,AUDIT,READ,DENIED,7043,Restricted
X00103,2026-09-07 13:47:33,nnakale,WKST-CS-006,FS-KYC-01,/customer/kyc/exports/2026-Q3/record-2330.json,CUSTOMER_EXPORT,DOWNLOAD,SUCCESS,3576,Restricted
X00104,2026-09-07 13:47:53,murorua,WKST-RSK-006,FS-FIN-01,/audit/security/record-1740.json,AUDIT,READ,SUCCESS,8790,Restricted
X00105,2026-09-07 13:55:38,katjiuongua,WKST-IT-012,FS-FIN-01,/admin/directory/record-6335.json,IT_ADMIN,UPDATE,SUCCESS,3123,Restricted
X00106,2026-09-07 13:56:18,hamukwaya,WKST-TRY-007,DB-CRM-01,/crm/customer/profile/record-9222.json,CRM_BASIC,READ,SUCCESS,1405,Internal
X00107,2026-09-07 14:01:18,sihuhua,WKST-SWK-008,DB-CRM-01,/crm/customer/profile/record-8739.json,CRM_BASIC,READ,SUCCESS,19653,Internal
X00108,2026-09-07 14:02:59,mbandeka,WKST-LGL-005,FS-KYC-01,/customer/contacts/recent/record-3649.json,CUSTOMER_BASIC,READ,SUCCESS,11591,Confidential
X00109,2026-09-07 14:03:16,katjiuongua,WKST-IT-012,FS-FIN-01,/admin/directory/record-7070.json,IT_ADMIN,READ,SUCCESS,5418,Restricted
X00110,2026-09-07 14:07:08,tkamati,WKST-CS-011,DB-CRM-01,/crm/cases/open/record-9620.json,CRM_BASIC,DOWNLOAD,SUCCESS,142778,Internal
X00111,2026-09-07 14:08:45,haufiku,WKST-SOC-003,FS-FIN-01,/audit/security/record-8382.json,AUDIT,READ,DENIED,48276,Restricted
X00112,2026-09-07 14:20:14,tkamati,WKST-CS-011,DB-CRM-01,/crm/customer/profile/record-6778.json,CRM_BASIC,READ,DENIED,94987,Internal
X00113,2026-09-07 14:23:21,nambala,WKST-SWK-012,FS-KYC-01,/customer/records/individual/record-7070.json,CUSTOMER_BASIC,READ,SUCCESS,24039,Confidential
X00114,2026-09-07 14:32:56,ntinda,WKST-MKT-010,DB-CRM-01,/crm/customer/profile/record-9102.json,CRM_BASIC,LIST,SUCCESS,1102,Internal
X00115,2026-09-07 14:41:17,nambala,WKST-SWK-012,FS-KYC-01,/customer/contacts/recent/record-9120.json,CUSTOMER_BASIC,READ,SUCCESS,25730,Confidential
X00116,2026-09-07 14:45:45,shapaka,WKST-EXE-002,DB-CRM-01,/crm/cases/open/record-9208.json,CRM_BASIC,UPDATE,DENIED,3223,Internal
X00117,2026-09-07 14:52:51,nduminga,WKST-SWK-002,FS-KYC-01,/customer/exports/regulatory/record-7331.json,CUSTOMER_EXPORT,READ,SUCCESS,9269,Restricted
X00118,2026-09-07 14:55:01,murorua,WKST-RSK-006,FS-FIN-01,/audit/security/record-4172.json,AUDIT,LIST,SUCCESS,3094,Restricted
X00119,2026-09-07 15:05:38,shapaka,WKST-EXE-002,DB-CRM-01,/crm/cases/open/record-2011.json,CRM_BASIC,READ,SUCCESS,21249,Internal
X00120,2026-09-07 15:17:44,ntinda,WKST-MKT-010,DB-CRM-01,/crm/interactions/today/record-4292.json,CRM_BASIC,DOWNLOAD,SUCCESS,23057,Internal
X00121,2026-09-07 15:29:24,ntinda,WKST-MKT-010,DB-CRM-01,/crm/cases/open/record-7890.json,CRM_BASIC,READ,SUCCESS,17411,Internal
X00122,2026-09-07 15:31:19,mbandeka,WKST-LGL-005,FS-KYC-01,/customer/contacts/recent/record-8058.json,CUSTOMER_BASIC,UPDATE,SUCCESS,4505,Confidential
X00123,2026-09-07 15:35:47,mukwambi,WKST-HR-014,FS-FIN-01,/payroll/allowances/record-1028.json,PAYROLL_READ,LIST,SUCCESS,3448,Confidential
X00124,2026-09-07 15:43:45,murorua,WKST-RSK-006,FS-FIN-01,/audit/access-reviews/record-1565.json,AUDIT,UPDATE,SUCCESS,2236,Restricted
X00125,2026-09-07 15:44:50,sihuhua,WKST-SWK-008,FS-KYC-01,/customer/contacts/recent/record-6640.json,CUSTOMER_BASIC,UPDATE,DENIED,1046,Confidential
X00126,2026-09-07 15:45:18,shilongo,WKST-LOAN-018,FS-KYC-01,/customer/records/individual/record-6709.json,CUSTOMER_BASIC,READ,SUCCESS,1280,Confidential
X00127,2026-09-07 16:02:34,nambala,WKST-SWK-012,FS-KYC-01,/customer/records/individual/record-6350.json,CUSTOMER_BASIC,READ,SUCCESS,6641,Confidential
X00128,2026-09-07 16:03:57,tkamati,WKST-CS-011,DB-CRM-01,/crm/customer/profile/record-9647.json,CRM_BASIC,DOWNLOAD,SUCCESS,500,Internal
X00129,2026-09-07 16:10:01,mhaingura,WKST-CS-017,DB-CRM-01,/crm/customer/profile/record-5190.json,CRM_BASIC,UPDATE,SUCCESS,1757,Internal
X00130,2026-09-07 16:12:00,nambala,WKST-SWK-012,FS-KYC-01,/customer/contacts/recent/record-4106.json,CUSTOMER_BASIC,LIST,SUCCESS,2758,Confidential
X00131,2026-09-07 16:28:43,tkamati,WKST-CS-011,DB-CRM-01,/crm/customer/profile/record-9542.json,CRM_BASIC,UPDATE,SUCCESS,4133,Internal
X00132,2026-09-07 16:30:15,nambala,WKST-SWK-012,FS-KYC-01,/customer/contacts/recent/record-3891.json,CUSTOMER_BASIC,READ,SUCCESS,7067,Confidential
X00133,2026-09-07 16:34:14,mbandeka,WKST-LGL-005,FS-KYC-01,/customer/contacts/recent/record-1067.json,CUSTOMER_BASIC,DOWNLOAD,SUCCESS,6745,Confidential
X00134,2026-09-07 16:40:12,kndjavera,WKST-CMP-009,FS-FIN-01,/audit/security/record-7058.json,AUDIT,READ,SUCCESS,5738,Restricted
X00135,2026-09-07 16:44:12,shilongo,WKST-LOAN-018,FS-KYC-01,/customer/records/individual/record-3181.json,CUSTOMER_BASIC,READ,SUCCESS,70240,Confidential
X00136,2026-09-07 16:50:17,tjirera,WKST-AUD-004,FS-FIN-01,/finance/general-ledger/record-1136.json,FINANCE,READ,SUCCESS,9511,Confidential
X00137,2026-09-07 16:59:06,shilongo,WKST-LOAN-018,FS-KYC-01,/customer/records/individual/record-2878.json,CUSTOMER_BASIC,READ,SUCCESS,5810,Confidential
X00138,2026-09-07 17:00:00,mhaingura,WKST-CS-017,FS-KYC-01,/customer/records/individual/record-8316.json,CUSTOMER_BASIC,READ,SUCCESS,14067,Confidential
X00139,2026-09-07 17:02:12,tjirera,WKST-AUD-004,FS-FIN-01,/finance/general-ledger/record-9358.json,FINANCE,READ,SUCCESS,9866,Confidential
X00140,2026-09-07 17:16:22,haufiku,WKST-SOC-003,FS-KYC-01,/customer/exports/regulatory/record-3674.json,CUSTOMER_EXPORT,READ,SUCCESS,4631,Restricted
X00141,2026-09-07 17:22:02,tjirera,WKST-AUD-004,FS-KYC-01,/customer/kyc/exports/2026-Q3/record-2459.json,CUSTOMER_EXPORT,READ,SUCCESS,11179,Restricted
X00142,2026-09-07 17:24:38,nghifindaka,WKST-IT-005,FS-FIN-01,/audit/security/record-8424.json,AUDIT,READ,SUCCESS,9585,Restricted
X00143,2026-09-07 17:25:25,sihuhua,WKST-SWK-008,DB-CRM-01,/crm/cases/open/record-8315.json,CRM_BASIC,READ,SUCCESS,1505,Internal
X00144,2026-09-07 17:34:44,sihuhua,WKST-SWK-008,FS-KYC-01,/customer/contacts/recent/record-5822.json,CUSTOMER_BASIC,READ,SUCCESS,18476,Confidential
X00145,2026-09-07 17:43:08,sankwasa,WKST-PRC-008,DB-CRM-01,/crm/customer/profile/record-7678.json,CRM_BASIC,READ,SUCCESS,16352,Internal
X00146,2026-09-07 17:49:27,shilongo,WKST-LOAN-018,FS-KYC-01,/customer/contacts/recent/record-3090.json,CUSTOMER_BASIC,READ,SUCCESS,29149,Confidential
X00147,2026-09-07 18:13:20,haufiku,WKST-SOC-003,FS-KYC-01,/customer/kyc/high-risk/record-2295.json,CUSTOMER_EXPORT,UPDATE,SUCCESS,4437,Restricted
X00148,2026-09-07 18:15:49,hamukwaya,WKST-TRY-007,DB-CRM-01,/crm/interactions/today/record-8497.json,CRM_BASIC,UPDATE,SUCCESS,1603,Internal
X00149,2026-09-07 18:17:36,murorua,WKST-RSK-006,FS-FIN-01,/audit/security/record-2573.json,AUDIT,UPDATE,SUCCESS,3179,Restricted
X00150,2026-09-07 18:23:36,ntinda,WKST-MKT-010,DB-CRM-01,/crm/interactions/today/record-5843.json,CRM_BASIC,READ,SUCCESS,34276,Internal
X00151,2026-09-07 18:25:43,haufiku,WKST-SOC-003,FS-KYC-01,/customer/kyc/exports/2026-Q3/record-4149.json,CUSTOMER_EXPORT,READ,SUCCESS,11518,Restricted
X00152,2026-09-07 18:32:22,sankwasa,WKST-PRC-008,DB-CRM-01,/crm/cases/open/record-6336.json,CRM_BASIC,READ,SUCCESS,21945,Internal
X00153,2026-09-07 18:40:17,mhaingura,WKST-CS-017,DB-CRM-01,/crm/cases/open/record-9596.json,CRM_BASIC,READ,SUCCESS,19172,Internal
X00154,2026-09-07 18:41:44,sankwasa,WKST-PRC-008,DB-CRM-01,/crm/cases/open/record-3295.json,CRM_BASIC,DOWNLOAD,SUCCESS,16281,Internal
X00155,2026-09-07 18:49:30,mhaingura,WKST-CS-017,FS-KYC-01,/customer/records/individual/record-1475.json,CUSTOMER_BASIC,READ,SUCCESS,51249,Confidential
X00156,2026-09-07 18:51:32,ntinda,WKST-MKT-010,DB-CRM-01,/crm/customer/profile/record-2622.json,CRM_BASIC,LIST,SUCCESS,561,Internal
X00157,2026-09-07 19:01:03,ntinda,WKST-MKT-010,DB-CRM-01,/crm/interactions/today/record-8961.json,CRM_BASIC,READ,SUCCESS,13323,Internal
X00158,2026-09-07 19:10:18,tjirera,WKST-AUD-004,FS-FIN-01,/audit/access-reviews/record-1272.json,AUDIT,UPDATE,SUCCESS,2109,Restricted
X00159,2026-09-07 19:14:00,ntinda,WKST-MKT-010,DB-CRM-01,/crm/cases/open/record-6811.json,CRM_BASIC,LIST,SUCCESS,3998,Internal
X00160,2026-09-07 19:20:02,shilongo,WKST-LOAN-018,FS-KYC-01,/customer/records/individual/record-3579.json,CUSTOMER_BASIC,READ,SUCCESS,5835,Confidential
X00161,2026-09-07 19:25:12,haufiku,WKST-SOC-003,FS-KYC-01,/customer/kyc/high-risk/record-7775.json,CUSTOMER_EXPORT,UPDATE,SUCCESS,2592,Restricted
